311404,23.1667,80.75,Madhya Pradesh,state,SHAHPURA,23 10 00 N,080 45 00 E
311404,27.3833,75.9667,Rajasthan,state,SHAHPURA,27 23 00 N,075 58 00 E
465001,23.45,76.35,Madhya Pradesh,state,SHAJAPUR,23 27 00 N,076 21 00 E
144105,31.5,75.75,Punjab,state,SHAM CHURASI,31 30 00 N,075 45 00 E
247776,29.45,77.3,Uttar Pradesh,state,SHAMLI,29 27 00 N,077 18 00 E
207503,27.0167,78.1167,Uttar Pradesh,state,SHAMSABAD,27 01 00 N,078 07 00 E
444203,20.8,76.7833,Maharashtra,state,SHEGAON,20 48 00 N,076 47 00 E
627809,8.9833,77.25,Tamil Nadu,state,SHENCOTTAH,08 59 00 N,077 15 00 E
307027,25.15,73.0667,Rajasthan,state,SHEONGANJ,25 09 00 N,073 04 00 E
221003,24.85,76.7,Madhya Pradesh,state,SHEOPUR,24 51 00 N,076 42 00 E
741158,14.2667,75.3,Karnataka,state,SHIKARPUR,14 16 00 N,075 18 00 E
202395,28.2833,78.0167,Uttar Pradesh,state,SHIKARPUR,28 17 00 N,078 01 00 E
205135,27.1,78.5833,Uttar Pradesh,state,SHIKOHABAD,27 06 00 N,078 35 00 E
362240,19.15,73.05,Maharashtra,state,SHIL,19 09 00 N,073 03 00 E
793001,25.5667,91.8833,Meghalaya,state,SHILLONG,25 34 00 N,091 53 00 E
577201,13.9333,75.5167,Karnataka,state,SHIMOGA,13 56 00 N,075 31 00 E
445310,21.35,74.9333,Maharashtra,state,SHIRPUR,21 21 00 N,074 56 00 E
344701,26.1833,71.25,Rajasthan,state,SHIV,26 11 00 N,071 15 00 E
473551,25.4333,77.65,Madhya Pradesh,state,SHIVPURI,25 26 00 N,077 39 00 E
413001,17.6833,75.9167,Maharashtra,state,SHOLAPUR,17 41 00 N,075 55 00 E
631102,13.1167,79.4167,Tamil Nadu,state,SHOLINGHUR,13 07 00 N,079 25 00 E
679121,10.7667,76.25,Kerala,state,SHORANUR,10 46 00 N,076 15 00 E
585224,16.5167,76.7333,Karnataka,state,SHORAPUR,16 31 00 N,076 44 00 E
413709,22.75,88.35,West Bengal,state,SHRIRAMPUR,22 45 00 N,088 21 00 E
465333,23.35,76.7667,Madhya Pradesh,state,SHUJALPUR,23 21 00 N,076 46 00 E
192303,33.7167,74.8333,Jammu and Kashmir,state,SHUPIYAN,33 43 00 N,074 50 00 E
796230,23.4,92.75,Mizoram,union territory,SIALSUK,23 24 00 N,092 45 00 E
785640,26.9667,94.65,Assam,state,SIBSAGAR,26 58 00 N,094 39 00 E
502103,18.1167,78.85,Andhra Pradesh,state,SIDDIPET,18 07 00 N,078 51 00 E
261303,27.3,80.8333,Uttar Pradesh,state,SIDHAULI,27 18 00 N,080 50 00 E
486661,24.4,81.9,Madhya Pradesh,state,SIDHI,24 24 00 N,081 54 00 E
384151,23.9167,72.3833,Gujarat,state,SIDHPUR,23 55 00 N,072 23 00 E
562105,13.4167,77.8833,Karnataka,state,SIDLAGHATTA,13 25 00 N,077 53 00 E
783373,26.5167,90.5,Assam,state,SIDLI,26 31 00 N,090 30 00 E
364240,21.7,71.9667,Gujarat,state,SIHOR,21 42 00 N,071 58 00 E
483225,23.5,80.15,Madhya Pradesh,state,SIHORA,23 30 00 N,080 09 00 E
203205,28.4667,77.7,Uttar Pradesh,state,SIKANDARABAD,28 28 00 N,077 42 00 E
224186,28.7,77.35,Uttar Pradesh,state,SIKANDARPUR,28 42 00 N,077 21 00 E
811315,24.95,86.0333,Bihar,state,SIKANDRA,24 57 00 N,086 02 00 E
204215,27.7,78.35,Uttar Pradesh,state,SIKANDRA RAO,27 42 00 N,078 21 00 E
332001,27.6167,75.15,Rajasthan,state,SIKAR,27 37 00 N,075 09 00 E
845309,22.6,88.5333,West Bengal,state,SIKARPUR,22 36 00 N,088 32 00 E
788001,24.8167,92.7833,Assam,state,SILCHAR,24 49 00 N,092 47 00 E
721515,22.6167,86.8333,West Bengal,state,SILDA,22 37 00 N,086 50 00 E
782143,26.6,92.9333,Assam,state,SILGHAT,26 36 00 N,092 56 00 E
734401,26.7,88.4333,West Bengal,state,SILIGURI,26 42 00 N,088 26 00 E
811316,24.7167,86.55,Bihar,state,SIMALTALA,24 43 00 N,086 33 00 E
825103,24.0833,84.9667,Bihar,state,SIMARIA,24 05 00 N,084 58 00 E
835223,22.5833,84.5167,Bihar,state,SIMDEGA,22 35 00 N,084 31 00 E
700006,31.1,77.1667,Himachal Pradesh,state,SIMLA,31 06 00 N,077 10 00 E
722151,22.9167,87.0833,West Bengal,state,SIMLAPAL,22 55 00 N,087 05 00 E
741248,23.05,88.5,West Bengal,state,SIMURALI,23 03 00 N,088 30 00 E
344033,25.5333,71.9667,Rajasthan,state,SINDARI,25 32 00 N,071 58 00 E
584128,15.7833,76.7667,Karnataka,state,SINDHNUR,15 47 00 N,076 46 00 E
828122,23.75,86.7,Bihar,state,SINDRI,23 45 00 N,086 42 00 E
641005,11.0167,77.0333,Tamil Nadu,state,SINGANALLUR,11 01 00 N,077 02 00 E
713514,23.6167,87.8,West Bengal,state,SINGHI,23 37 00 N,087 48 00 E
222175,25.9167,8.0333,Uttar Pradesh,state,SINGRAMAU,25 55 00 N,008 02 00 E
712409,22.7667,88.25,West Bengal,state,SINGUR,22 46 00 N,088 15 00 E
