7137ND,6.5712,52.0086
7137NE,6.5785,52.0086
7137NG,6.578122,52.002797
7137NH,6.580147,52.001911
7137PA,6.642261,52.00604
7137PB,6.652443,52.008611
7137PC,6.638137,52.00996
7137PD,6.625222,52.007636
7137PE,6.604767,52.008796
7137PG,6.604395,52.004513
7137PH,6.59329,52.004234
7137PJ,6.602536,52.002667
7137RA,6.5569,52.0178
7137RB,6.551433,52.024259
7137SB,6.597223,52.008327
7137SC,6.597223,52.008327
7137SE,6.594272,52.007271
7137SG,6.248775,50.600009
7141AA,6.616846,52.042712
7141AB,6.616213,52.043371
7141AC,6.616213,52.043371
7141AD,6.616213,52.043371
7141AE,6.612743,52.043177
7141AG,6.614788,52.043572
7141AH,6.614788,52.043572
7141AJ,6.615946,52.042655
7141AK,6.615946,52.042655
7141AL,6.615946,52.042655
7141AM,6.615946,52.042655
7141AN,6.612908,52.042016
7141AP,6.613885,52.04215
7141AR,6.615988,52.042171
7141AS,6.61573,52.041661
7141AT,6.61573,52.041661
7141AV,6.616162,52.04156
7141AW,6.615076,52.042607
7141AX,6.615076,52.042607
7141AZ,6.617248,52.043915
7141BA,6.615334,52.041401
7141BB,6.61597,52.041072
7141BC,6.616327,52.041333
7141BD,6.616327,52.041333
7141BE,6.61678,52.042028
7141BG,6.61678,52.042028
7141BH,6.617074,52.041489
7141BJ,6.617649,52.04171
7141BK,6.618063,52.040221
7141BL,6.617649,52.04171
7141BM,6.618063,52.040221
7141BN,6.61826,52.040438
7141BP,6.617503,52.042231
7141BR,6.617503,52.042231
7141BS,6.620047,52.041081
7141BT,6.619469,52.0422
7141BV,6.619845,52.042782
7141BW,6.617812,52.042684
7141BX,6.617146,52.04302
7141BZ,6.617146,52.04302
7141CA,6.616895,52.043717
7141CB,6.618076,52.043021
7141CC,6.621923,52.042883
7141CD,6.618939,52.044538
7141CE,6.62133,52.046504
7141CG,6.613566,52.044979
7141CH,6.618947,52.047025
7141CJ,6.623247,52.046907
7141CK,6.62332,52.046397
7141CL,6.622009,52.046444
7141CM,6.621413,52.045979
7141CN,6.623167,52.045491
7141CP,6.623167,52.045491
7141CR,6.623762,52.04306
7141CS,6.623762,52.04306
7141CT,6.623066,52.04466
7141CV,6.623066,52.04466
7141CW,6.622829,52.044261
7141CX,6.625093,52.045121
7141DA,6.622703,52.042951
7141DB,6.623355,52.041559
7141DC,6.624163,52.038398
7141DD,6.625819,52.043387
7141DE,6.62346,52.036644
7141DG,6.628633,52.033727
7141DH,6.631608,52.03481
7141DJ,6.622629,52.03966
7141DK,6.621806,52.039172
7141DL,6.624163,52.038398
7141DM,6.621501,52.038261
7141DN,6.621501,52.038261
7141DP,6.627567,52.031524
7141DR,6.620882,52.037314
7141DS,6.620882,52.037314
7141DT,6.619577,52.038662
7141DV,6.617918,52.037369
7141DW,6.617918,52.037369
7141DX,6.617918,52.037369
7141DZ,6.617918,52.037369
7141EA,6.615042,52.038964
7141EB,6.611379,52.041229
7141EC,6.615042,52.038964
7141ED,6.616625,52.038571
7141EE,6.612648,52.039598
7141EG,6.612648,52.039598
7141EH,6.611427,52.040424
7141EJ,6.61065,52.039739
7141EK,6.608411,52.040844
7141EL,6.608411,52.040844
7141EM,6.610106,52.040986
7141EN,6.6159,52.0441
7141EP,6.6159,52.0441
7141ER,6.6159,52.0441
7141HA,6.636953,52.039922
7141HB,6.643514,52.047252
7141HC,6.6452,52.0483
7141HD,6.64136,52.046792
7141JA,6.622921,52.051677
7141JB,6.615771,52.050655
7141JC,6.605483,52.0508
7141JE,6.623133,52.053666
7141JG,6.623133,52.053666
7141JH,6.623133,52.053666
7141JJ,6.623133,52.053666
7141KA,6.609142,52.04184
7141KB,6.609142,52.04184
7141KC,6.609142,52.04184
7141KD,6.600839,52.041317
7141KE,6.610176,52.04149
7141KG,6.608973,52.039772
7141KH,6.608973,52.039772
7141KJ,6.608973,52.039772
7141KK,6.607631,52.040195
7141KL,6.607631,52.040195
7141KM,6.606727,52.039854
7141KN,6.605658,52.039389
7141KP,6.608496,52.041299
7141KR,6.608496,52.041299
7141KS,6.608496,52.041299
7141KT,6.605347,52.040139
7141KV,6.604498,52.040334
7141KW,6.603657,52.040334
7141KX,6.604858,52.039728
7141KZ,6.606495,52.041036
7141LA,6.627567,52.031524
7141LB,6.616171,52.034984
7141LC,6.616552,52.035628
7141LD,6.609235,52.02933
7141LE,6.610532,52.040943
7141LG,6.600839,52.041317
7141LH,6.592741,52.037031
7141LJ,6.591585,52.039357
7141LK,6.599016,52.034802
7141LL,6.598794,52.04111
7141LN,6.621326,52.035728
7141MA,6.628033,52.052587
7141MB,6.631331,52.050789
7141NA,6.604579,52.050296
7141NB,6.611904,52.033196
7141NC,6.610245,52.033657
7141ND,6.609378,52.034079
7141NE,6.609378,52.034079
7141NG,6.612355,52.034401
7141NH,6.61074,52.033982
7141PA,6.604484,52.039117
7141PB,6.604484,52.039117
7141PC,6.602317,52.039664
7141PD,6.600952,52.039249
7141PE,6.600952,52.039249
7141PG,6.600702,52.037964
7141PH,6.600999,52.038868
7141PJ,6.600999,52.038868
7141PK,6.604992,52.039389
7141PL,6.601708,52.038165
7141PM,6.601708,52.038165
7141PN,6.605081,52.038553
7141PP,6.604386,52.037885
7141PR,6.605854,52.037617
7141PS,6.604193,52.03703
7141PT,6.606301,52.03693
7141PV,6.599156,52.040122
7141PW,6.605403,52.038025
7141PX,6.600598,52.040498
7141PZ,6.600027,52.039422
7141RA,6.599759,52.038404
7141RB,6.599759,52.038404
7141RC,6.597416,52.038784
7141RD,6.599881,52.041028
7141RE,6.596701,52.040097
7141RG,6.598011,52.039805
7141TD,6.606675,52.048329
7141TE,6.608941,52.048621
7141TG,6.608941,52.048621
7141TH,6.608941,52.048621
7141TJ,6.608941,52.048621
7141TK,6.608941,52.048621
7141TL,6.608941,52.048621
7141TM,6.608941,52.048621
7141TN,6.601204,52.044762
7141TP,6.601796,52.045962
7141TR,6.601796,52.045962
7141TS,6.603185,52.045692
7141TT,6.60373,52.046094
7141TV,6.60373,52.046094
7141TW,6.60373,52.046094
7141TX,6.60373,52.046094
7141TZ,6.606889,52.047043
7141VA,6.605663,52.046167
7141VB,6.598917,52.043527
7141VC,6.607361,52.045906
7141VD,6.602095,52.045035
7141VE,6.599199,52.046858
7141VG,6.606697,52.046329
7141VJ,6.602571,52.049147
7141VK,6.60924,52.044486
7141VL,6.607563,52.046783
7141VM,6.60924,52.044486
7141VN,6.607043,52.044826
7141VP,6.606198,52.044751
7141VR,6.605372,52.044585
7141VS,6.604254,52.045323
7141VT,6.604737,52.044187
7141VV,6.604162,52.044168
7141VW,6.603642,52.044279
7141VX,6.602446,52.043747
7141VZ,6.602446,52.043747
7141WB,6.60096,52.043521
7141WC,6.600009,52.043242
7141WD,6.599898,52.044615
7141WE,6.601623,52.044203
7141WG,6.601623,52.044203
7141WH,6.601623,52.044203
7141WJ,6.608456,52.044718
7141WK,6.608456,52.044718
7141WL,6.601597,52.042988
7141WN,6.608456,52.044718
7141WP,6.608456,52.044718
7141WR,6.601597,52.042988
7141WS,6.600336,52.042361
7141WT,6.600336,52.042361
7141WV,6.601064,52.042684
7141WX,6.601064,52.042684
7141XA,6.599484,52.042241
7141XB,6.597861,52.04268
7141XC,6.598502,52.04276
7141XD,6.595783,52.041951
7141XE,6.597423,52.042976
7141XG,6.602021,52.041882
7141XH,6.602021,52.041882
7141XJ,6.60216,52.042566
7141XK,6.602905,52.042758
7141XL,6.602905,52.042758
7141XM,6.603672,52.042929
7141XN,6.604456,52.043097
7141XP,6.605275,52.04265
7141XR,6.605574,52.043067
7141XS,6.605574,52.043067
7141XT,6.608152,52.044123
7141XV,6.608572,52.04395
7141XW,6.608572,52.04395
7141XX,6.607104,52.042593
7141XZ,6.607104,52.042593
7141ZA,6.607507,52.043472
7141ZB,6.608872,52.043869
7141ZC,6.609444,52.043114
7141ZD,6.608336,52.04266
7141ZE,6.608336,52.04266
7141ZG,6.610444,52.042694
7141ZH,6.611086,52.038601
7141ZJ,6.61046,52.038315
7141ZK,6.61046,52.038315
7141ZL,6.609779,52.038017
7141ZM,6.609779,52.038017
7141ZN,6.607476,52.03911
7141ZP,6.607476,52.03911
7141ZR,6.608745,52.03716
7141ZS,6.608081,52.037494
7141ZT,6.60864,52.038358
7141ZV,6.607774,52.038182
7141ZW,6.607319,52.038787
7141ZX,6.606166,52.038807
7141ZZ,6.606166,52.038807
7151AA,6.653106,52.101474
7151AB,6.653106,52.101474
7151AD,6.650829,52.10253
7151AE,6.650829,52.10253
7151AG,6.650829,52.10253
7151AH,6.650829,52.10253
7151AJ,6.653407,52.097815
7151AK,6.653407,52.097815
7151AL,6.652863,52.100008
7151AM,6.652863,52.100008
7151AN,6.65119,52.101477
7151AP,6.652196,52.101665
7151AR,6.652458,52.107357
7151AS,6.652458,52.107357
7151AT,6.651145,52.107272
7151AV,6.652342,52.101056
7151BA,6.651666,52.103233
7151BB,6.646566,52.102901
7151BC,6.651666,52.103233
7151BD,6.646566,52.102901
7151BE,6.646566,52.102901
7151BG,6.647577,52.10313
7151BH,6.647028,52.103756
7151BJ,6.649515,52.103575
7151BK,6.645089,52.102827
7151BL,6.643514,52.104111
7151BM,6.644534,52.10371
7151BN,6.642657,52.101321
7151BP,6.645733,52.102599
7151BR,6.646084,52.10251
7151BS,6.645039,52.101796
7151BT,6.646784,52.102462
7151BV,6.646784,52.102462
7151BW,6.646784,52.102462
7151BX,6.644563,52.106166
7151CA,6.646865,52.102187
7151CB,6.649653,52.102379
7151CC,6.643104,52.100556
7151CD,6.646548,52.101368
7151CE,6.646548,52.101368
7151CG,6.648083,52.101528
7151CH,6.648083,52.101528
7151CJ,6.648083,52.101528
7151CK,6.64706,52.100578
7151CL,6.64706,52.100578
7151CM,6.644143,52.100228
7151CN,6.649872,52.100177
7151CP,6.649872,52.100177
7151CR,6.654,52.1022
7151DA,6.645198,52.101312
7151DB,6.645198,52.101312
7151DC,6.645198,52.101312
7151DD,6.647398,52.097854
7151DE,6.651643,52.098979
7151DG,6.651643,52.098979
7151DH,6.651763,52.097505
7151DJ,6.651763,52.097505
7151DK,6.650691,52.097759
7151DL,6.650691,52.097759
7151DM,6.649874,52.09843
7151DN,6.648345,52.098212
7151DP,6.648669,52.097626
7151DR,6.651956,52.096903
7151DS,6.646514,52.097463
7151DT,6.651956,52.096903
7151DW,6.645546,52.097678
